2020-04-02 16:49:33.793  INFO [sipladservicediscovery,,,] 9064 --- [XNIO-1 task-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-04-02 16:49:33.805  INFO [sipladservicediscovery,,,] 9064 --- [XNIO-1 task-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 12 ms
2020-04-02 16:49:35.440  INFO [sipladservicediscovery,4cc5875e49cf0e6a,4cc5875e49cf0e6a,true] 9064 --- [XNIO-1 task-2] c.n.e.registry.AbstractInstanceRegistry  : Registered instance SIPLADSERVICEGATEWAY/localhost:sipladservicegateway:8900 with status UP (replication=false)
2020-04-02 16:49:36.028  INFO [sipladservicediscovery,15022ee21532fcca,15022ee21532fcca,true] 9064 --- [XNIO-1 task-3] c.n.e.registry.AbstractInstanceRegistry  : Registered instance SIPLADSERVICEGATEWAY/localhost:sipladservicegateway:8900 with status UP (replication=true)
2020-04-02 16:49:37.437  INFO [sipladservicediscovery,f4fdfb8506a12bfc,f4fdfb8506a12bfc,true] 9064 --- [XNIO-1 task-6] c.n.e.registry.AbstractInstanceRegistry  : Registered instance SIPLADSERVICEAPOIO/localhost:sipladserviceapoio:9300 with status UP (replication=false)
2020-04-02 16:49:37.947  INFO [sipladservicediscovery,1341a0ebed53d3d0,1341a0ebed53d3d0,true] 9064 --- [XNIO-1 task-8] c.n.e.registry.AbstractInstanceRegistry  : Registered instance SIPLADSERVICEAPOIO/localhost:sipladserviceapoio:9300 with status UP (replication=true)
2020-04-02 16:49:39.823  INFO [sipladservicediscovery,30bb3ccea09b62ec,30bb3ccea09b62ec,false] 9064 --- [XNIO-1 task-10] c.n.e.registry.AbstractInstanceRegistry  : Registered instance SIPLADSERVICEAUTENTICACAO/localhost:sipladserviceautenticacao:9100 with status UP (replication=false)
2020-04-02 16:49:40.333  INFO [sipladservicediscovery,a1808dc478dbf1a8,a1808dc478dbf1a8,true] 9064 --- [XNIO-1 task-12] c.n.e.registry.AbstractInstanceRegistry  : Registered instance SIPLADSERVICEAUTENTICACAO/localhost:sipladserviceautenticacao:9100 with status UP (replication=true)
2020-04-02 16:50:26.612  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 16:51:26.612  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 16:52:26.612  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 16:53:26.613  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 16:54:26.613  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 16:55:26.614  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 16:56:26.614  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 16:57:26.615  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 16:58:26.615  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 16:59:26.616  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 17:00:26.616  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 17:01:26.617  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 17:02:26.618  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 17:03:26.618  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 17:04:26.445  INFO [sipladservicediscovery,,,] 9064 --- [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] c.n.e.r.PeerAwareInstanceRegistryImpl    : Current renewal threshold is : 6
2020-04-02 17:04:26.618  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-04-02 17:05:26.619  INFO [sipladservicediscovery,,,] 9064 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
